,index,Login Timestamp,User ID,Round-Trip Time [ms],IP Address,Country,Region,City,ASN,User Agent String,Browser Name and Version,OS Name and Version,Device Type,Login Successful,Is Attack IP,Is Account Takeover
82873,82873,2020-02-04 13:45:50.280,5519106287451092780,,10.4.1.162,IT,Provincia di Treviso,Treviso,503109,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,False,True
82947,82947,2020-02-04 13:46:45.241,-7654599524478640403,,10.4.1.162,IT,Provincia di Treviso,Treviso,503109,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,False,True
100085,100085,2020-02-04 17:15:42.743,-6380256063165146454,,31.131.16.24,RO,-,-,56851,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/71.0.3578.40.50.99 Safari/537.36",Chrome 71.0.3578.40.50,Chrome OS 5978.98.0,desktop,True,True,True
202905,202905,2020-02-06 05:19:28.841,4130074439166519892,,185.170.136.4,IT,Veneto,Sospirolo,206801,"Mozilla/5.0  (iPad; CPU OS 8_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1",Android 2.3.6,iOS 8.2,mobile,True,False,True
273968,273968,2020-02-07 01:25:57.399,-136955930917892295,,10.0.85.13,NO,Vestland,Vassenden,197475,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.203.88 Safari/537.36",Chrome 79.0.3945.192.203,Mac OS X 10.14.6,desktop,True,False,True
482034,482034,2020-02-10 05:51:00.938,-5783801028078876142,,2.56.166.10,RO,-,-,3280,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,True,True
482102,482102,2020-02-10 05:52:45.031,6969491805167028251,,2.56.166.10,RO,-,-,3280,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,True,True
482456,482456,2020-02-10 06:01:54.380,-2200491188712463133,,2.56.166.10,RO,-,-,3280,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,True,True
482566,482566,2020-02-10 06:05:11.464,5780471454460598558,,2.56.166.10,RO,-,-,3280,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,True,True
483111,483111,2020-02-10 06:17:40.877,-4181075837585773799,,91.240.236.235,RO,Ilfov,Petrachioaia,62350,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,True,True
483360,483360,2020-02-10 06:23:02.700,866176531291139058,,91.240.236.235,RO,Ilfov,Petrachioaia,62350,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,True,True
1208819,1208819,2020-02-19 10:04:17.055,-5384879943871510628,,10.4.93.138,RO,Dambovita,Potlogi,41197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,False,True
1210228,1210228,2020-02-19 10:23:08.301,796302587790037404,,77.81.67.69,RO,Buzau,Ramnicu Sarat,41496,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,True,True
1336333,1336333,2020-02-20 21:10:28.142,-6437266486594230274,,86.104.194.195,RO,-,-,48874,"Mozilla/5.0 (Linux; Android 5.5.1; CHM-U01) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.1950.138 Mobile Safari/537.36 variation/85774",Chrome Mobile 81.0.4044.1950,Android 5.5.1,mobile,True,True,True
1368954,1368954,2020-02-21 11:16:45.836,2141928180504976000,,185.170.136.1,IT,Veneto,Sospirolo,206801,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,False,True
1499813,1499813,2020-02-23 10:05:48.721,1426869939209317381,,45.6.108.92,BR,Mato Grosso do Sul,Coxim,266130,"Mozilla/5.0  (X11; Linux aarch64) AppleWebKit/537.36 (KHTML, like Gecko Chrome/90.0.4411.0 Safari/537.36",Chrome 90.0.4411,Chromecast 1.52.251747,desktop,True,False,True
1513385,1513385,2020-02-23 13:44:40.515,3301586149197216522,,178.213.212.223,RO,-,-,31028,"Mozilla/5.0  (Linux; U; Android 2.2) power lite AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1934.138 Mobile Safari/537.36 variation/31684",Chrome Mobile 81.0.4044.1934,Android 2.2,mobile,True,True,True
1569417,1569417,2020-02-24 09:33:27.495,341307978064584872,,141.0.83.118,BR,-,-,29695,Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Gecko/20150101 Firefox/20.0.0.1673 (Chrome,Firefox 20.0.0.1673,iOS 13.4,mobile,True,False,True
1799491,1799491,2020-02-27 08:54:55.989,247565874710897685,,193.150.121.220,NO,-,-,57423,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,True,True
1845943,1845943,2020-02-27 18:49:03.543,3451007385536107456,,5.180.170.153,IT,Veneto,Longarone,206801,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/79.0.3945.192.207.130 Safari/537.36 RuxitSynthetic/1.0 v4870458463 t8347097904287973985",Chrome 79.0.3945.192.207,Chrome OS 5978.98.0,desktop,True,True,True
1851694,1851694,2020-02-27 20:15:10.368,-7112949111950368477,,91.240.236.223,RO,Ilfov,Petrachioaia,62350,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,True,True
1908327,1908327,2020-02-28 15:30:51.031,-446479977368476662,,10.4.102.32,RO,Dambovita,Gaesti,197357,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.218.117 Safari/537.36",Chrome 79.0.3945.192.218,Mac OS X 10.14.6,desktop,True,False,True
